lfprt,educ,expr,age
0,5,4,35
0,11,4,24
0,9,8,35
0,9,7,31
0,11,2,26
1,8,7,22
0,4,3,26
0,7,11,35
1,8,7,19
1,12,11,34
0,7,8,34
0,5,10,34
0,9,9,37
0,12,7,33
1,9,8,18
0,3,13,36
0,10,0,39
0,10,3,50
0,3,6,18
0,8,10,45
1,10,10,24
0,6,1,30
1,10,10,18
0,10,5,23
0,10,9,33
1,12,7,23
0,2,5,18
0,2,7,39
1,7,11,25
0,6,5,38
1,8,11,18
0,3,8,31
0,14,8,39
1,8,8,18
0,5,6,33
0,9,7,26
0,4,7,18
0,9,5,39
0,7,4,58
0,5,8,23
0,7,9,41
0,7,5,29
0,9,6,32
0,7,7,34
0,8,6,29
1,11,11,18
0,7,7,36
0,6,4,35
1,8,11,31
0,12,3,35
1,13,6,24
0,7,10,34
0,9,10,47
0,11,4,47
0,6,8,26
0,9,7,33
0,6,5,28
0,7,7,33
0,4,9,38
1,7,13,31
0,6,5,28
0,7,9,47
1,9,7,18
0,6,2,21
0,3,4,32
0,2,8,40
0,5,8,27
1,12,11,30
1,12,10,21
0,6,5,23
0,7,6,34
0,7,6,37
0,10,6,28
0,8,7,31
0,7,7,37
0,10,7,39
0,7,6,31
0,2,10,35
1,8,8,18
1,7,10,18
1,13,8,30
0,3,5,39
0,12,10,51
0,10,3,24
1,11,14,35
0,8,5,31
0,4,9,40
0,6,8,32
0,14,9,51
0,6,7,41
0,11,5,27
0,7,7,28
0,3,6,25
0,8,6,30
0,8,8,42
1,9,9,21
0,9,9,41
0,11,2,38
0,7,3,23
0,4,4,39
1,13,10,39
0,9,13,49
1,9,9,25
1,8,7,18
1,11,6,20
0,5,5,36
0,4,1,41
0,9,6,48
1,5,12,18
0,8,10,42
0,7,12,39
1,7,14,25
0,7,10,30
0,8,3,55
0,9,3,23
0,2,13,36
1,7,9,26
0,3,10,25
0,4,11,49
0,6,8,31
0,6,10,34
1,15,11,21
0,9,6,34
0,8,5,18
1,6,7,18
0,8,6,32
0,8,6,25
0,6,-0,40
0,3,7,23
0,8,6,41
0,5,5,29
1,5,10,24
0,3,6,27
0,4,5,47
0,7,9,38
0,8,7,41
0,11,9,45
0,6,7,51
0,2,2,42
0,8,8,34
1,9,8,27
0,7,8,43
1,7,7,18
0,12,9,39
0,6,6,43
0,2,6,30
0,12,2,26
1,5,10,19
0,4,4,26
0,7,4,18
0,2,5,31
0,6,2,22
0,10,11,40
1,11,8,21
1,6,11,28
0,10,9,40
1,7,9,25
0,6,1,24
0,11,6,44
0,6,10,31
0,2,0,63
0,6,5,30
0,7,6,27
0,7,2,37
0,5,11,37
0,7,3,35
0,7,4,32
0,13,6,34
0,8,4,35
0,7,4,38
0,5,12,37
0,10,9,45
0,6,11,31
0,9,5,23
1,12,12,27
0,6,8,29
1,6,12,18
0,3,5,27
0,4,9,39
1,9,7,24
0,7,5,46
0,5,11,34
1,8,10,18
0,10,8,36
1,13,10,29
0,9,5,37
1,11,6,19
0,7,8,39
0,4,7,31
0,8,3,30
1,15,9,25
0,6,10,41
1,8,9,21
0,6,7,24
0,-0,9,31
0,7,5,49
1,6,10,24
1,8,13,20
