lfprt,educ,expr,age
0,8,8,26
0,9,6,35
0,10,5,29
0,14,-0,51
1,13,7,23
0,5,6,43
1,5,12,30
1,9,8,26
0,9,7,51
0,8,9,46
1,9,13,18
0,7,5,29
0,7,7,32
1,10,13,36
0,4,8,18
1,9,12,36
0,8,11,39
1,9,10,26
0,9,9,37
1,10,9,18
0,6,6,28
0,9,7,32
0,2,5,30
0,3,7,28
0,4,12,37
1,7,10,26
0,3,10,37
0,2,7,18
0,14,8,40
1,9,9,26
0,2,4,31
0,9,6,37
0,14,10,47
1,16,9,34
1,11,11,36
0,7,8,44
1,11,5,18
0,8,9,33
0,12,5,42
1,12,3,18
0,15,6,41
0,8,4,44
1,5,10,24
0,5,5,49
0,10,5,34
0,13,6,44
0,3,4,40
1,8,10,27
0,7,5,23
1,8,9,18
0,8,5,28
0,4,2,38
0,8,7,29
0,9,4,21
0,8,7,43
0,8,9,38
0,7,6,33
0,8,3,31
0,7,7,35
0,6,14,41
0,5,9,37
0,0,10,50
0,11,6,29
1,10,9,23
0,3,7,28
0,11,4,54
0,12,7,35
1,12,8,32
0,9,5,21
0,14,5,30
0,7,4,19
0,4,7,25
0,0,11,35
0,8,5,35
0,7,6,39
0,5,9,30
0,7,10,31
1,11,7,25
0,8,4,19
1,11,10,25
0,9,8,40
0,2,8,28
0,4,8,56
1,9,6,18
0,7,10,37
1,10,10,32
1,16,7,35
0,6,5,36
0,5,7,45
0,4,6,22
0,10,3,40
1,9,8,18
0,2,11,35
1,5,12,31
0,4,9,28
1,9,10,30
0,12,6,40
0,-0,11,48
1,8,11,21
0,12,9,37
1,7,9,21
1,10,9,31
0,7,4,60
0,9,7,33
0,3,10,30
0,8,3,33
0,9,5,34
0,5,7,54
0,10,8,30
0,9,8,40
1,10,13,22
0,1,7,36
0,8,7,24
1,11,12,38
0,10,8,39
0,11,5,43
0,6,10,35
0,8,6,41
0,7,9,40
0,9,6,28
0,12,2,43
0,1,8,48
0,6,8,27
0,10,5,24
0,8,9,32
0,5,7,18
0,7,6,31
1,9,8,18
0,5,6,34
0,5,8,47
0,13,6,31
0,6,4,27
0,7,-0,27
0,6,8,24
1,11,8,22
1,6,12,25
0,13,11,48
1,6,7,18
1,12,9,35
1,6,11,29
0,10,9,48
0,7,14,44
0,4,7,40
0,5,10,29
0,11,6,37
0,8,7,36
1,3,11,23
0,5,8,30
1,10,10,29
0,7,3,37
1,11,11,18
0,6,6,42
0,4,5,21
0,9,1,24
0,10,5,22
1,7,11,30
0,4,11,32
0,8,3,33
0,4,7,22
1,7,10,22
0,11,6,33
1,8,12,37
1,8,13,22
0,3,6,31
1,9,8,18
1,11,10,28
0,7,11,37
0,6,6,30
1,11,6,25
0,11,7,38
1,8,10,31
0,12,3,19
1,8,10,27
1,9,10,31
0,5,10,32
1,5,8,18
0,3,4,35
0,1,8,28
0,6,3,38
0,4,6,44
1,6,12,30
0,8,9,43
0,9,6,32
1,5,11,28
1,10,9,30
0,4,5,21
0,9,8,31
0,12,3,54
0,11,4,56
0,8,11,35
0,11,6,30
0,3,10,24
0,5,8,33
0,6,12,46
1,11,12,26
0,8,8,28
0,7,6,29
0,8,3,43
1,3,9,18
0,6,9,30
0,3,8,40
0,5,8,34
1,13,9,26
0,6,6,25
0,8,13,54
0,9,3,30
0,9,8,37
0,7,9,37
0,6,6,45
0,7,6,42
0,4,6,30
0,8,9,32
1,4,13,30
0,3,2,23
0,10,5,41
0,2,4,30
0,7,3,23
1,10,9,25
0,-0,7,27
1,9,11,26
0,7,4,46
0,3,8,42
1,4,11,25
1,9,9,18
0,10,4,21
0,11,4,33
0,11,2,26
0,7,4,18
0,12,-0,32
0,5,4,29
1,9,9,30
0,7,11,37
0,-0,9,40
0,6,7,36
0,4,8,34
0,6,3,48
1,5,12,29
0,7,8,28
0,5,10,30
1,11,9,18
0,6,8,29
0,5,5,49
1,12,6,18
0,6,6,37
0,9,4,18
0,11,7,45
0,7,9,35
0,2,5,37
1,7,9,18
0,10,6,26
0,5,13,47
0,9,6,27
1,7,12,18
0,10,8,33
0,7,9,31
0,5,10,38
1,8,11,26
0,7,10,34
0,7,4,46
0,9,4,31
0,7,7,32
0,1,6,43
0,10,4,42
0,5,8,31
0,8,5,22
1,13,7,31
1,12,13,25
0,7,6,29
1,6,10,19
0,9,3,29
0,5,6,27
0,9,7,39
0,9,4,38
0,10,4,20
0,5,10,33
1,13,9,36
0,5,6,18
1,10,7,20
0,5,10,36
0,8,10,34
0,11,7,35
0,3,6,26
0,13,4,46
0,6,8,23
0,6,14,45
0,8,5,25
0,8,9,47
1,11,4,18
0,11,2,29
1,7,12,18
0,3,9,32
0,8,4,46
0,8,10,36
0,10,5,29
0,6,3,34
0,5,5,39
1,12,12,43
1,11,8,18
0,9,9,41
1,5,11,25
0,12,6,35
0,7,6,27
0,11,7,34
0,5,12,45
1,7,13,23
1,10,10,34
0,17,-0,43
0,7,2,32
1,6,11,27
0,1,6,18
0,8,11,38
0,9,4,22
0,10,3,18
1,13,10,34
0,6,9,35
0,6,6,23
1,11,9,25
0,9,2,29
1,10,11,35
0,13,6,38
0,8,11,42
0,8,5,23
0,15,10,49
0,13,8,46
0,15,3,31
0,12,3,21
1,11,9,27
0,9,6,25
0,8,10,36
0,8,5,33
1,7,9,18
0,2,9,57
0,10,5,34
1,8,10,29
0,7,8,33
0,4,7,18
0,10,6,43
1,13,9,34
0,9,7,31
0,11,9,41
0,11,7,36
0,6,2,34
0,4,4,32
0,8,10,60
1,12,8,24
0,8,4,24
0,7,6,42
1,5,9,18
0,10,4,18
0,8,9,29
0,11,7,31
0,5,7,39
0,8,6,44
0,9,8,38
1,6,12,18
0,6,10,42
0,10,5,48
0,8,5,36
0,8,2,27
0,7,7,38
0,7,8,38
0,12,6,32
0,10,9,39
1,10,9,23
0,6,7,41
1,11,7,28
0,7,7,41
0,10,6,30
0,2,3,23
0,6,5,26
0,10,7,31
0,7,0,18
0,9,7,45
0,1,9,28
0,7,7,48
0,5,4,29
0,7,2,31
1,6,11,18
1,6,11,18
0,11,3,32
0,15,7,57
0,6,10,40
0,6,10,32
0,5,12,38
0,6,4,31
0,5,4,37
0,9,8,43
0,8,8,30
0,6,8,35
0,5,7,20
0,7,11,33
0,4,5,29
0,7,9,55
0,7,9,33
0,1,0,31
1,7,15,28
0,6,4,33
1,8,7,18
0,7,8,44
0,2,6,33
0,4,8,18
0,3,9,36
1,9,9,23
0,4,6,36
0,14,6,35
0,4,11,42
1,7,10,24
1,11,14,40
0,8,5,26
1,9,7,22
0,10,4,35
0,9,4,40
0,6,6,36
0,5,7,30
0,5,8,28
0,6,10,28
0,-0,9,43
0,4,8,30
0,9,6,41
0,6,5,33
0,6,8,37
0,4,9,31
1,5,11,24
1,11,7,18
0,5,6,37
0,8,2,30
0,4,2,23
1,9,11,29
0,11,6,46
0,7,6,30
0,9,3,28
1,8,13,35
0,7,6,18
0,7,10,51
1,8,7,22
0,5,10,42
0,6,4,24
0,-0,11,28
0,5,2,26
0,6,6,50
0,6,9,37
0,6,3,18
1,10,12,36
0,9,6,24
0,3,7,42
0,10,7,46
1,3,9,18
1,5,12,30
0,-0,5,18
1,8,6,18
0,6,7,34
0,9,7,35
1,12,9,32
0,13,4,28
0,9,5,27
0,7,11,37
0,9,7,33
0,7,6,22
0,10,3,34
0,11,0,31
1,6,11,18
1,10,13,29
1,8,7,18
1,9,11,28
1,7,10,20
0,3,4,29
1,6,8,20
0,12,7,33
0,8,12,40
1,11,9,18
1,9,10,21
0,8,7,33
0,8,8,34
1,4,11,18
0,3,6,52
0,5,11,44
0,4,6,22
1,10,10,23
0,0,7,47
1,7,10,21
0,6,10,34
0,7,6,39
0,7,11,33
0,2,9,34
0,7,8,24
1,7,8,23
1,8,13,32
0,10,5,30
0,5,7,19
1,4,10,22
0,4,1,35
1,10,10,24
1,3,9,18
0,5,6,49
0,7,6,20
0,2,9,23
1,12,13,18
0,2,7,45
0,5,13,46
1,11,11,30
0,8,4,18
0,8,2,28
0,11,8,47
0,14,4,30
0,7,7,43
0,5,4,27
1,14,15,38
0,12,3,32
0,8,5,23
0,9,3,47
1,12,10,30
0,12,2,18
0,6,9,31
0,9,8,31
1,12,5,18
0,9,7,30
0,6,11,35
1,15,5,18
0,9,8,41
1,11,7,18
0,6,6,34
0,11,2,26
0,7,3,34
0,6,5,39
0,9,6,31
0,9,2,32
1,10,6,18
0,9,7,39
0,1,7,28
0,4,5,18
0,9,7,26
0,2,5,27
0,9,9,34
0,9,10,34
1,9,10,18
0,5,11,42
0,7,9,44
0,3,6,23
0,5,6,38
0,7,7,38
0,10,5,26
0,6,10,35
0,2,10,39
0,7,4,35
1,13,6,22
0,7,6,46
0,7,9,31
1,7,11,18
1,10,10,32
0,3,5,38
0,10,1,29
0,6,7,22
0,11,8,41
0,14,4,35
0,7,12,42
0,6,12,34
