lfprt,educ,expr,age
0,10,4,24
0,4,11,31
0,10,5,35
0,5,11,34
0,11,8,47
0,7,8,27
0,5,8,31
1,11,12,25
0,3,4,35
0,1,6,43
0,7,8,40
0,7,9,39
0,2,8,44
0,7,5,38
0,6,7,25
1,16,13,21
0,3,11,33
0,8,5,45
0,5,4,18
0,13,4,27
1,14,10,30
1,8,12,23
1,7,10,21
0,7,3,25
0,3,7,18
1,10,6,18
1,6,11,18
0,6,4,41
0,6,9,35
0,7,8,48
0,9,9,53
0,11,8,41
0,1,3,22
1,10,9,23
1,10,7,21
0,10,9,37
0,11,4,23
1,16,9,43
0,6,5,49
0,8,7,41
0,7,6,36
0,6,9,38
1,11,8,30
0,9,5,32
0,7,7,26
0,7,6,18
0,8,8,62
0,11,11,47
0,8,7,27
0,5,7,44
1,5,11,19
0,5,6,31
1,9,5,18
0,6,8,25
1,7,8,20
0,1,9,33
0,6,3,53
0,10,2,35
0,7,9,55
1,12,5,22
1,9,6,18
1,13,7,28
1,11,12,39
0,2,11,34
0,0,5,32
0,6,5,35
0,11,3,48
1,14,6,18
0,13,6,33
0,7,3,29
0,5,5,29
1,10,8,18
0,5,0,36
0,7,5,41
0,4,5,31
1,6,9,22
0,-0,3,51
0,7,5,36
0,8,10,34
0,7,4,18
1,9,11,25
0,1,5,20
0,8,8,50
0,10,6,42
0,7,5,29
0,9,6,31
0,12,5,39
0,11,5,33
0,4,8,41
0,4,10,36
0,5,4,18
0,8,7,47
0,8,6,27
0,9,11,37
0,4,5,35
1,9,11,32
0,6,5,18
1,10,13,26
1,12,9,28
0,8,6,32
0,7,2,18
1,15,5,18
0,7,13,49
1,7,11,20
1,12,11,41
1,11,9,21
0,5,13,46
0,6,9,27
1,14,11,18
0,11,8,43
0,6,5,29
1,10,6,18
0,3,8,39
1,11,11,37
0,8,5,22
1,8,12,24
0,4,5,31
0,7,6,37
0,5,8,24
1,12,9,28
1,10,8,23
1,5,14,32
1,10,14,22
1,7,9,18
1,8,11,18
1,12,5,18
0,7,9,52
0,3,4,41
0,6,3,30
0,9,7,38
0,3,1,18
0,8,6,26
0,9,12,45
0,6,8,29
1,6,10,18
0,6,10,30
0,4,8,33
0,7,7,35
1,12,7,29
0,8,3,23
1,14,10,33
0,2,11,37
0,2,10,25
1,8,11,30
1,9,11,22
1,13,11,26
1,5,12,26
0,6,6,33
0,9,4,39
0,5,9,38
0,7,7,36
1,7,7,20
0,7,3,20
0,5,1,29
1,11,9,31
1,9,10,25
1,7,9,18
0,8,6,29
0,9,4,47
1,10,14,23
1,6,8,18
0,7,11,34
0,9,2,18
0,7,4,50
0,9,3,34
0,0,8,30
0,6,8,26
0,5,8,47
1,14,7,33
0,7,3,18
1,4,9,18
0,4,4,18
1,3,16,29
1,9,7,24
0,5,10,26
1,7,11,19
0,11,6,27
0,4,4,54
1,6,12,25
0,10,9,42
0,8,11,41
0,8,7,36
1,14,6,26
1,11,7,26
0,3,3,23
0,3,4,18
1,10,7,18
0,10,4,43
0,9,5,25
0,8,4,31
0,6,10,35
0,8,-0,46
1,12,6,24
0,4,8,30
0,10,6,26
0,10,6,31
0,4,2,39
0,2,8,56
0,8,1,23
0,8,6,27
0,7,5,40
0,11,5,24
0,7,9,37
0,8,10,36
1,11,8,26
1,12,4,18
1,11,9,22
0,6,6,23
0,5,10,30
1,15,6,18
0,9,8,49
1,8,14,27
0,6,5,18
0,7,5,41
0,7,6,41
0,7,2,21
0,4,4,18
0,8,4,29
0,1,4,27
0,5,11,47
1,13,11,41
0,7,7,29
0,11,8,33
1,11,7,18
1,14,5,19
0,9,9,45
0,7,1,19
0,8,8,42
0,9,3,42
0,4,4,37
0,1,9,28
0,6,6,29
0,5,13,52
0,3,5,24
1,11,10,31
0,4,4,34
0,8,4,50
0,4,-0,20
0,5,5,40
0,9,9,38
1,11,7,19
0,6,1,36
0,7,8,42
0,5,5,18
0,6,7,29
0,9,1,45
0,9,3,55
0,6,6,38
0,5,5,28
1,9,7,24
0,12,3,30
1,8,7,18
0,6,9,45
0,5,4,36
1,9,11,18
0,9,5,34
0,6,11,50
1,5,9,18
1,14,13,43
0,5,8,30
0,10,6,41
1,12,12,22
0,4,1,38
1,9,7,18
0,4,5,22
0,6,6,18
1,12,8,25
1,12,10,36
1,7,12,27
1,4,13,18
0,6,6,34
0,9,5,44
1,9,7,18
0,5,5,39
1,11,9,28
0,1,12,24
0,8,7,29
0,4,9,45
0,7,4,31
0,3,14,36
