lfprt,educ,expr,age
0,10,8,31
0,5,9,41
1,11,6,23
0,5,9,42
0,7,7,40
0,8,8,30
0,5,11,34
0,14,1,32
0,8,6,52
0,8,5,35
0,8,8,33
0,8,10,37
0,10,4,25
0,3,7,46
0,9,6,38
0,11,13,47
0,8,7,36
0,7,2,24
0,8,5,18
0,9,6,28
0,2,5,26
0,7,9,33
0,7,2,29
1,7,11,27
0,7,7,27
0,4,14,51
1,11,13,19
0,10,9,39
0,5,3,26
0,6,10,34
1,8,13,26
0,4,5,32
0,6,8,37
0,1,6,28
1,10,16,18
0,7,8,37
0,11,8,32
0,4,2,43
0,9,9,43
0,11,5,43
0,8,3,18
0,6,4,18
1,6,11,28
1,6,16,28
0,6,6,28
0,9,6,30
0,11,6,44
0,6,6,39
0,7,6,33
0,5,9,26
1,8,11,31
0,6,8,23
0,6,9,44
0,9,5,33
0,10,5,33
0,7,6,39
0,4,9,32
1,7,15,27
0,4,9,34
1,2,10,18
0,2,5,33
0,6,8,25
0,11,6,35
0,7,4,37
0,7,8,30
0,9,7,31
0,10,5,27
0,3,11,46
0,9,7,27
0,5,7,23
1,5,11,25
0,9,6,34
0,8,7,30
0,8,7,27
0,-0,3,41
0,11,5,37
1,13,12,43
0,2,4,43
0,7,-0,45
1,14,8,33
0,10,5,41
0,11,6,29
0,6,11,34
1,12,10,24
0,7,8,47
0,4,6,29
0,0,10,39
1,7,9,26
1,7,8,18
0,9,3,18
0,9,5,21
1,8,12,37
0,-0,9,29
0,7,8,44
1,10,11,38
0,7,9,48
1,3,14,32
0,8,7,30
0,10,1,39
0,5,6,21
0,8,7,31
0,7,7,28
1,9,11,26
0,11,7,30
1,12,12,44
0,11,7,46
0,5,11,36
1,9,15,40
0,5,7,50
1,12,7,23
0,8,1,31
0,1,8,26
1,10,13,23
0,13,6,30
0,8,5,32
0,1,4,45
0,8,6,46
0,9,7,43
0,4,6,28
1,13,7,18
0,5,9,45
0,12,6,33
1,13,9,25
0,3,5,29
0,5,12,39
0,5,6,30
0,9,4,42
0,6,5,37
0,11,8,36
0,9,9,46
0,7,5,18
0,8,3,32
0,7,9,41
0,6,12,34
0,6,6,30
0,10,6,42
1,9,9,29
0,3,7,27
