lfprt,educ,expr,age
1,8,12,32
0,11,7,42
1,7,9,18
1,5,10,23
1,10,10,35
1,9,12,33
0,6,11,39
1,7,13,18
1,5,10,18
1,15,9,18
0,4,6,18
0,7,10,33
0,8,2,43
1,8,10,18
0,7,2,18
0,5,5,31
0,11,7,31
0,4,5,43
0,3,2,50
0,2,10,28
1,12,11,25
0,6,3,29
0,8,10,36
1,3,15,28
0,4,12,30
1,14,4,23
1,7,10,21
1,4,12,25
0,10,9,34
0,12,7,33
0,3,2,22
0,12,5,39
1,8,7,18
0,8,2,30
1,7,10,18
0,7,9,30
0,11,7,53
1,6,8,21
1,11,9,29
0,8,4,39
0,6,10,28
1,10,12,25
0,7,5,44
0,6,10,32
0,4,7,55
0,11,7,50
1,10,6,21
0,11,6,36
0,11,7,46
0,9,4,34
0,6,6,30
0,1,8,25
1,3,12,18
1,11,6,20
0,5,5,35
1,13,6,25
0,1,2,24
0,12,5,30
0,5,5,24
0,9,9,31
0,6,10,47
0,5,7,29
1,12,12,40
0,6,0,18
0,5,2,18
0,8,8,35
0,8,10,37
0,1,10,21
0,3,12,41
1,12,10,23
0,8,5,29
0,11,2,36
0,5,7,30
1,11,9,19
0,8,7,47
0,10,1,55
0,11,8,35
1,8,12,18
0,11,1,40
0,9,5,38
1,9,11,28
0,8,2,18
1,7,9,22
0,5,6,24
1,9,8,26
1,11,13,22
1,7,10,27
0,0,7,22
1,5,9,18
0,2,6,18
1,7,7,18
0,13,8,43
0,4,6,33
0,10,7,35
0,9,11,44
0,9,9,39
0,5,6,32
0,7,4,30
0,9,6,23
0,7,4,35
0,7,5,29
1,6,12,22
1,11,8,18
0,9,1,43
0,6,2,36
0,7,10,35
1,14,8,30
0,4,9,28
0,8,12,39
0,4,6,35
0,3,7,19
0,8,5,36
0,9,4,50
0,8,5,35
1,8,9,27
1,7,10,24
0,7,6,40
0,9,3,48
1,10,10,24
0,2,1,39
0,8,5,26
0,5,3,24
0,9,5,34
1,12,7,20
1,7,13,30
0,7,10,33
1,9,6,18
0,3,8,25
0,9,3,39
0,10,7,30
0,5,8,32
0,6,5,47
0,6,6,35
0,8,10,43
0,12,3,38
1,9,11,31
1,7,13,19
0,5,6,18
0,5,8,45
0,7,7,26
0,7,7,26
0,12,4,35
0,7,6,32
1,8,9,26
0,5,10,47
1,9,5,18
1,8,8,25
0,3,9,21
0,6,12,35
0,11,9,51
0,2,1,49
0,6,6,28
0,5,5,26
0,10,6,43
0,4,6,18
1,9,11,28
0,4,8,29
1,6,13,28
0,0,9,18
1,11,7,21
0,5,10,40
0,3,6,26
0,8,6,25
0,4,7,22
0,5,4,20
0,8,6,33
0,7,5,28
0,2,5,31
0,11,6,38
0,8,3,53
0,4,6,18
0,-0,8,20
0,6,12,59
0,10,12,55
0,6,7,24
0,9,7,36
1,13,11,21
0,8,8,44
0,8,4,35
0,9,6,37
0,11,7,33
0,10,3,36
0,11,7,33
1,7,12,33
0,4,10,47
1,10,11,18
0,1,8,21
0,5,8,47
1,10,11,30
0,8,6,32
1,14,8,20
0,7,5,56
0,12,2,43
0,6,6,31
0,6,8,32
1,11,10,18
0,6,8,40
0,2,4,35
1,16,10,25
1,13,8,35
0,10,6,39
1,9,6,18
0,3,4,31
0,7,8,33
0,9,9,41
0,4,8,32
1,10,10,20
0,2,8,26
0,8,8,33
0,8,6,26
1,14,12,36
0,9,4,41
0,8,9,50
0,4,11,42
0,8,10,33
1,7,11,18
0,7,7,52
0,5,6,35
0,10,7,57
0,11,11,63
1,9,10,18
0,15,6,45
0,6,1,44
1,9,8,22
1,5,13,31
0,5,10,34
1,5,13,21
0,3,10,38
0,6,3,20
0,4,6,22
0,6,8,32
0,8,5,41
0,8,8,34
0,6,4,18
0,4,9,24
0,9,11,37
0,11,4,34
1,4,9,18
0,10,9,46
0,7,7,21
1,10,7,26
0,12,5,30
0,9,7,63
0,5,5,32
0,5,9,34
0,7,3,26
0,10,2,38
1,4,14,26
0,6,6,39
0,10,7,29
0,7,7,21
0,6,5,21
1,12,13,43
1,8,10,29
0,6,6,44
0,17,9,49
1,9,10,32
0,12,5,31
0,6,12,36
1,8,9,28
1,6,11,25
0,9,8,35
1,5,9,18
0,5,3,18
0,5,12,38
0,7,1,34
0,2,3,49
0,7,8,36
0,10,5,32
0,9,8,45
1,8,10,26
0,6,10,34
0,9,9,37
1,8,10,19
0,9,10,44
1,9,10,30
1,7,10,26
1,11,10,30
0,6,10,42
0,9,10,40
0,7,8,36
1,11,8,31
0,3,8,19
0,7,7,35
1,11,15,21
0,7,15,45
0,5,5,32
0,4,10,37
0,5,6,38
1,10,7,25
0,11,10,38
1,9,10,31
1,11,11,21
0,9,2,20
0,6,2,31
1,11,11,18
0,5,7,30
0,8,9,30
0,7,12,38
0,8,6,29
0,11,6,29
0,7,7,29
0,3,6,39
0,7,12,47
0,13,5,38
0,15,4,41
0,2,8,39
1,10,7,25
0,9,6,36
0,13,7,40
1,9,12,39
0,4,7,43
1,9,13,40
0,3,6,41
1,8,12,26
1,7,8,23
1,14,12,38
0,9,9,31
1,10,13,37
0,9,7,41
0,7,9,33
0,5,10,34
1,7,9,19
0,9,3,42
1,11,5,22
1,5,11,27
0,5,3,46
0,4,0,35
0,7,5,18
0,10,11,46
0,8,4,32
0,5,10,29
