lfprt,educ,expr,age
0,6,11,51
0,2,7,32
0,8,11,37
0,10,7,41
1,10,8,29
1,9,7,18
1,6,9,18
0,12,3,24
1,7,11,18
0,0,7,28
0,8,5,28
0,6,8,52
0,2,7,20
1,9,10,27
0,13,3,36
1,8,8,23
0,3,5,43
0,5,9,53
0,8,8,46
0,0,9,31
0,11,6,36
1,7,10,18
0,1,5,34
0,10,5,26
0,7,11,34
0,6,0,45
1,10,12,38
0,7,5,37
0,5,9,25
0,11,6,37
1,8,12,18
1,13,8,35
0,5,6,51
1,10,6,18
0,6,8,39
1,16,6,33
1,7,12,30
1,7,7,20
0,7,3,30
0,11,7,33
0,4,11,30
0,13,5,32
0,7,8,33
1,8,10,18
1,8,12,28
1,16,15,18
0,10,6,37
0,10,5,34
0,5,6,41
1,9,8,22
0,8,5,29
1,7,12,31
0,5,7,35
0,8,6,44
0,11,7,38
0,4,5,22
0,8,5,26
0,7,8,35
0,5,4,24
1,1,12,20
0,8,5,47
0,5,3,23
0,8,6,31
1,8,10,26
0,8,5,24
0,5,14,38
1,5,12,26
0,10,3,32
0,10,6,28
1,10,10,33
0,7,2,31
0,4,2,47
0,8,7,34
1,8,11,25
0,7,1,26
1,12,10,31
1,7,11,29
0,8,8,35
0,13,-0,49
1,10,10,21
0,6,6,27
0,10,5,27
0,10,7,32
0,11,7,38
0,10,9,34
0,5,1,23
0,5,11,32
1,5,13,18
1,8,12,20
1,9,8,18
1,10,8,26
0,4,11,39
0,3,9,48
0,9,8,49
1,8,10,21
0,7,1,35
1,10,11,24
0,10,8,44
0,3,6,23
0,8,6,42
0,5,7,26
0,8,12,43
0,5,6,34
1,9,13,28
0,2,10,36
1,8,7,22
0,7,7,21
0,8,3,18
0,6,9,32
0,7,8,29
1,7,9,23
0,5,11,36
0,3,9,38
1,6,10,25
0,6,6,36
1,7,10,29
0,7,3,32
0,5,2,34
1,7,11,18
1,5,11,26
0,2,1,20
0,6,10,29
0,2,3,25
1,9,10,22
0,3,6,18
1,9,12,34
1,11,11,23
0,10,5,39
0,6,3,21
1,9,13,33
0,7,4,18
0,7,7,42
0,3,5,31
0,8,3,21
1,6,11,18
0,5,7,31
1,12,9,31
0,11,1,28
0,4,9,35
0,10,6,44
1,8,13,23
1,9,10,23
0,11,6,28
1,2,12,20
1,5,8,19
0,7,6,26
0,10,6,36
1,11,6,20
0,0,3,35
0,4,5,18
1,12,5,18
0,11,5,37
1,4,9,19
0,8,10,39
1,13,6,18
