lfprt,educ,expr,age
1,12,16,30
1,7,10,19
1,10,10,35
0,6,8,43
0,11,6,29
0,2,5,19
0,6,2,18
0,8,7,30
0,2,2,28
1,17,9,39
1,7,10,27
0,14,5,38
0,9,6,35
0,7,8,43
0,3,10,37
0,6,5,19
0,8,8,33
0,1,6,18
0,6,1,21
0,9,2,25
0,10,2,22
0,7,8,34
1,4,11,19
0,3,4,52
0,8,4,37
0,8,9,39
0,13,10,42
1,9,7,18
0,8,8,26
0,8,8,31
0,7,5,37
0,6,7,49
0,10,7,34
1,7,11,32
0,8,9,44
0,9,7,33
0,5,4,28
0,4,9,21
0,6,3,18
0,1,2,25
1,9,10,25
0,10,4,26
1,12,9,31
0,3,9,42
1,11,10,24
0,3,6,18
0,6,9,30
1,7,8,22
0,2,14,47
0,9,10,41
0,8,6,56
0,7,6,21
0,3,8,37
0,9,10,35
0,6,7,25
0,12,5,40
1,12,12,29
0,7,7,21
0,8,2,33
0,11,1,22
1,11,9,23
0,8,6,29
1,14,11,30
1,10,8,23
1,11,8,18
0,6,10,34
0,3,5,45
0,11,8,33
1,9,9,21
0,10,10,39
1,5,13,28
0,6,9,46
0,11,6,34
1,6,7,18
0,12,5,25
0,5,10,45
0,13,8,43
0,2,2,24
0,-0,9,33
1,8,9,26
1,13,12,18
1,11,7,18
0,11,7,50
0,7,9,33
0,8,10,37
0,8,6,21
0,4,2,43
1,12,10,28
0,6,3,22
1,9,8,18
0,6,9,25
1,13,8,30
1,12,11,42
1,10,7,25
0,6,6,18
0,4,7,36
0,8,5,27
1,11,11,31
0,7,7,39
0,3,9,30
1,14,8,35
1,4,13,28
0,12,10,41
0,10,7,27
1,8,13,18
0,8,7,30
1,9,9,28
0,6,7,49
0,9,8,48
0,9,5,26
0,10,12,48
0,4,10,40
0,8,10,40
0,7,10,32
1,13,9,27
0,2,9,27
0,9,6,35
0,6,5,36
0,4,1,34
0,11,9,36
1,10,7,21
1,10,6,19
1,14,9,25
1,10,17,22
0,4,2,38
0,7,2,22
0,4,6,36
0,8,7,47
0,7,3,22
0,9,2,36
0,10,3,30
1,12,11,27
0,6,4,40
0,10,5,31
0,4,4,30
1,11,11,40
0,10,4,29
0,5,6,22
0,8,1,35
0,13,9,45
0,3,6,33
0,8,7,27
1,5,16,18
0,5,5,50
0,10,12,47
0,9,7,41
1,11,13,42
1,12,5,23
1,4,15,33
0,5,3,30
0,5,11,42
1,8,10,27
0,12,6,38
0,8,9,33
0,6,14,46
0,8,8,38
0,3,11,40
0,5,10,39
0,8,4,29
0,4,4,43
0,4,9,47
1,14,4,25
0,9,6,40
0,5,7,23
0,5,4,20
1,6,11,26
0,5,8,38
0,4,6,46
1,12,8,31
0,9,6,26
0,8,8,36
1,8,13,27
0,5,1,30
0,6,2,34
0,8,7,41
0,5,9,36
1,11,7,23
0,3,9,44
0,9,7,32
0,6,4,38
1,11,7,26
1,9,10,27
1,5,10,18
0,7,8,29
0,8,5,53
0,10,8,34
0,5,7,53
0,9,5,35
0,6,6,31
1,10,14,25
1,10,11,37
1,13,9,29
1,5,11,18
0,6,8,35
0,13,4,51
0,5,5,33
0,7,1,29
0,7,7,38
1,11,10,18
0,9,6,28
0,-0,6,18
1,11,8,18
0,3,6,38
0,8,4,31
0,8,5,32
1,9,9,29
0,12,4,36
0,2,9,34
0,9,8,40
1,10,11,34
1,13,8,29
0,6,10,39
0,5,6,38
0,6,10,31
0,6,9,35
0,11,3,42
0,7,11,36
0,6,7,24
0,7,4,32
0,5,9,34
0,7,9,50
0,10,8,35
0,5,6,46
1,5,9,18
0,10,3,27
0,6,6,28
1,8,13,38
0,12,6,29
1,8,11,26
0,3,8,43
0,2,6,43
0,4,7,23
0,8,7,37
0,5,6,31
0,4,12,35
0,7,5,20
0,8,4,25
1,13,9,24
1,8,9,21
0,7,11,40
0,7,-0,34
0,1,7,42
0,7,9,32
0,5,5,49
0,7,6,26
0,10,10,36
0,8,9,48
0,2,8,18
0,3,3,51
0,0,9,37
1,6,8,18
0,3,13,44
0,6,10,35
0,5,4,28
0,5,9,33
0,10,7,42
1,12,7,21
0,13,8,36
1,14,7,20
0,4,6,53
0,7,5,37
0,14,2,31
1,9,10,31
0,1,2,28
1,7,13,38
0,5,6,40
0,13,7,40
0,12,6,48
1,9,9,18
0,4,7,28
0,11,3,32
0,10,1,18
0,6,7,37
0,5,7,27
1,10,12,22
0,4,6,46
0,3,8,23
1,4,9,18
0,7,3,35
0,9,10,36
0,1,7,25
0,7,4,20
0,4,7,45
1,9,6,18
1,8,14,18
1,8,7,18
1,10,10,32
1,8,11,25
0,4,12,32
0,9,3,28
0,12,5,31
0,6,2,22
0,3,7,42
0,6,10,28
1,15,8,37
0,7,4,18
0,4,13,38
0,5,6,25
0,5,12,50
0,5,8,20
1,9,10,18
1,10,10,20
1,4,17,24
0,4,8,34
0,12,5,34
1,10,11,38
1,7,7,20
0,5,6,26
0,7,7,35
0,8,7,34
1,9,9,29
0,4,10,42
1,12,4,18
1,6,10,18
0,12,5,41
1,9,5,18
0,8,0,18
0,6,8,36
0,6,10,33
0,2,8,30
0,4,8,46
1,10,7,25
1,11,10,34
0,7,10,66
1,6,8,18
0,9,8,36
0,10,3,37
0,3,9,21
0,10,3,34
0,8,6,24
0,8,4,35
0,8,9,34
0,7,4,21
0,7,7,48
1,10,9,18
1,8,11,32
0,11,5,23
0,8,8,41
0,3,5,35
0,9,4,29
0,6,10,35
0,4,9,26
1,6,10,21
0,11,6,36
0,3,11,25
0,9,4,31
0,6,8,34
1,6,9,18
0,5,2,45
1,6,10,23
1,11,12,18
0,6,11,33
0,7,7,24
0,4,8,41
0,4,6,46
0,7,5,27
0,9,6,42
0,8,9,31
0,5,7,18
1,7,14,28
1,10,9,18
0,7,9,49
1,12,7,26
0,5,7,22
0,3,5,31
1,8,11,28
0,6,4,40
0,7,6,31
1,8,6,18
0,12,12,52
0,4,10,53
0,8,7,45
1,11,7,18
1,5,9,22
0,7,6,33
1,11,5,18
1,5,10,20
1,9,9,26
0,6,9,35
1,8,11,34
0,10,4,38
1,14,9,39
1,3,11,24
1,8,12,18
0,7,8,28
0,7,7,44
0,6,10,28
0,4,5,42
0,8,1,18
0,9,9,42
0,7,6,38
0,15,7,43
0,3,7,36
0,8,8,44
1,12,9,27
0,4,4,21
0,3,7,41
0,8,5,49
0,6,8,24
0,5,4,27
0,4,4,23
0,9,6,29
0,3,8,46
0,7,5,18
0,3,7,31
0,7,6,24
1,5,10,23
1,11,9,28
1,7,11,28
0,10,3,31
0,5,3,22
1,10,13,25
0,13,6,33
0,2,8,38
0,6,9,39
0,8,7,39
0,4,3,37
1,14,7,29
0,7,6,18
1,13,13,42
0,5,12,32
0,7,9,27
0,6,6,26
0,-0,8,31
0,5,8,38
0,6,4,49
0,8,10,44
0,3,7,32
0,8,3,31
0,9,5,31
0,8,11,35
0,8,7,25
1,9,12,31
0,9,6,25
0,6,8,25
0,8,1,24
0,11,8,38
0,3,2,37
0,10,4,29
0,9,9,42
1,13,12,31
0,9,7,33
0,9,7,37
1,6,11,26
1,13,8,24
0,6,7,42
0,6,7,30
0,7,5,34
0,8,9,40
0,4,7,24
1,8,8,24
1,6,12,33
1,13,5,26
0,6,6,18
0,6,9,40
1,11,9,26
0,6,8,41
1,10,13,19
0,8,5,28
0,4,7,32
0,6,6,25
0,7,5,42
0,9,6,25
1,13,13,18
0,8,5,41
1,10,9,18
0,5,4,21
0,4,5,24
0,6,10,31
0,8,6,25
0,8,7,39
0,4,6,31
1,6,11,22
0,14,2,35
1,9,8,26
0,10,5,31
0,3,9,30
0,7,3,27
0,3,13,53
0,7,6,22
1,8,14,30
0,12,5,31
0,7,5,39
1,10,8,29
0,5,4,39
0,3,8,19
0,12,9,47
0,9,9,33
1,10,8,29
1,8,7,18
0,3,5,18
0,9,6,25
1,8,12,18
0,8,1,30
0,8,5,20
0,4,8,42
0,10,9,49
0,6,6,24
0,7,8,33
0,4,7,28
1,5,10,18
0,-0,9,37
1,9,6,20
0,7,1,18
0,9,9,33
1,4,14,26
0,6,9,27
0,5,7,18
1,6,12,33
0,7,8,27
1,8,13,25
1,8,8,23
1,12,10,36
0,11,12,46
1,8,10,18
1,8,15,35
0,8,4,28
0,8,4,28
0,10,11,39
0,12,6,31
1,9,8,27
0,9,10,42
0,7,8,28
0,1,7,28
0,8,9,52
0,2,4,23
0,6,7,26
1,14,11,41
0,11,9,42
1,4,16,26
1,6,11,18
0,7,13,41
0,4,8,35
0,8,4,36
0,8,5,25
0,6,12,42
0,6,5,23
0,9,10,35
1,10,9,28
0,8,5,23
0,6,10,44
0,10,4,38
0,7,8,44
0,8,5,36
0,9,8,44
0,9,7,36
0,10,3,28
1,7,11,26
1,13,11,37
0,7,9,38
0,7,7,39
0,7,2,18
0,4,5,21
0,7,8,47
0,9,8,34
0,10,7,34
0,3,8,33
0,7,11,44
0,3,10,43
0,-0,3,38
0,11,8,32
0,10,1,26
1,7,14,28
1,13,12,22
1,7,11,18
0,9,8,43
0,9,10,34
0,6,6,21
0,2,11,29
0,9,6,49
0,7,3,32
0,4,10,63
0,6,12,35
0,9,9,38
0,4,0,44
0,5,10,40
1,8,14,32
0,8,1,35
1,5,12,18
1,7,11,32
0,9,5,39
0,3,6,28
0,8,1,26
1,8,15,18
0,6,4,37
0,6,8,29
0,7,6,48
0,7,8,31
0,6,8,29
0,9,3,18
1,10,7,24
0,5,8,34
1,9,6,21
0,3,8,34
0,7,5,37
0,8,4,24
0,4,6,37
0,10,6,47
0,5,4,35
0,3,10,28
1,12,7,22
0,9,9,38
1,10,6,23
1,18,9,25
0,3,9,27
0,9,8,37
0,8,4,18
0,11,7,36
0,12,4,38
1,11,9,25
1,9,6,21
0,4,5,38
1,5,9,18
1,9,10,24
0,11,4,37
1,13,7,27
0,1,9,33
0,4,7,41
1,7,13,32
0,12,7,33
0,4,9,28
0,10,4,46
0,7,5,45
1,13,9,18
1,9,9,24
0,6,8,32
1,7,14,31
0,10,6,56
0,10,6,38
1,8,11,22
1,13,5,18
0,6,14,41
0,13,6,33
0,5,7,40
1,6,11,24
1,12,5,23
0,8,10,39
1,6,10,25
0,8,4,31
1,5,10,24
0,11,9,45
0,4,6,32
0,4,6,23
0,8,8,32
1,9,8,19
0,7,5,37
0,8,8,39
0,6,7,35
0,8,5,26
0,5,4,52
1,15,6,33
0,7,5,22
1,5,11,20
0,8,4,36
0,9,8,33
1,10,9,18
0,9,5,32
0,14,9,44
0,7,6,43
0,13,5,52
0,12,3,40
0,10,5,32
0,5,13,36
0,6,3,52
0,8,6,40
0,10,4,24
1,8,10,18
0,9,5,26
0,6,6,41
1,8,10,18
1,5,10,18
0,6,4,22
0,11,7,37
0,9,9,41
0,2,7,41
1,9,13,34
1,6,11,18
0,7,11,48
0,12,1,41
0,11,6,40
0,4,7,37
0,11,4,37
0,-0,5,35
0,8,10,41
0,9,3,28
0,3,11,38
1,13,12,47
1,9,8,18
1,3,13,26
1,3,12,26
1,7,8,19
1,13,6,26
1,8,10,28
0,5,6,30
0,4,7,32
0,5,11,57
0,5,4,45
0,10,5,31
1,9,10,27
0,5,2,40
1,6,10,18
1,9,7,20
0,7,7,24
0,4,7,35
0,7,6,32
0,7,7,32
0,7,6,26
0,11,5,23
1,14,11,19
1,10,7,18
0,10,9,42
0,11,9,44
0,3,7,41
0,10,6,24
0,7,9,35
1,8,7,21
0,3,9,28
0,12,4,25
0,7,8,28
1,6,8,18
1,8,12,27
1,11,13,30
1,10,7,22
0,11,5,45
1,11,4,18
1,8,6,18
0,7,8,46
0,10,4,35
0,7,6,24
0,6,9,31
1,10,12,33
0,9,10,34
0,9,6,33
0,7,2,31
0,5,6,35
1,7,9,21
1,10,8,23
0,0,6,33
0,3,6,33
1,11,9,31
0,6,12,48
0,5,9,41
0,11,1,40
0,3,5,38
0,5,4,18
0,8,5,43
1,6,12,23
0,9,9,33
0,9,8,30
1,6,7,18
0,1,2,20
0,6,7,35
0,2,6,39
0,5,7,40
0,4,5,44
0,8,9,42
0,9,7,27
0,7,8,25
0,7,9,55
1,10,8,29
1,6,8,19
1,11,10,18
0,6,10,37
0,9,4,42
0,7,4,37
1,6,12,30
0,7,7,24
0,9,8,29
0,6,8,41
0,4,7,46
0,8,8,39
0,7,6,40
1,6,11,30
0,5,9,31
0,8,5,25
1,9,9,30
0,16,4,35
0,11,4,48
0,14,4,37
0,7,7,46
1,8,9,24
0,9,10,38
0,5,6,44
0,4,5,39
0,3,8,39
0,4,9,32
0,6,4,18
0,6,6,33
1,9,8,20
0,7,6,31
0,4,7,37
0,3,6,23
0,9,12,40
0,3,2,36
1,7,8,21
1,10,13,39
0,5,6,24
1,11,8,18
0,9,1,26
0,6,3,32
0,6,3,27
1,11,12,31
0,7,10,44
0,2,6,29
0,1,8,29
1,9,13,28
0,8,5,20
0,5,9,30
0,7,10,39
0,7,4,27
0,10,4,23
1,11,9,26
0,7,9,37
0,5,3,30
0,8,11,36
1,12,6,27
0,8,2,27
0,7,8,32
0,7,11,33
0,3,7,31
1,8,12,21
1,9,10,33
0,0,3,29
0,3,5,22
0,8,7,43
1,7,11,18
1,7,9,22
0,8,3,41
0,4,12,37
0,8,8,31
1,10,10,30
0,4,6,39
0,9,4,47
0,5,5,29
0,9,11,42
0,10,1,34
1,11,8,18
0,9,6,28
0,7,6,27
0,9,6,23
0,9,7,29
0,7,8,31
0,10,5,42
0,10,5,23
0,5,3,34
0,8,4,18
0,8,12,38
0,13,6,32
0,4,3,24
0,6,5,23
0,2,8,43
0,2,7,42
0,15,8,43
0,8,6,26
1,12,11,37
0,6,5,30
0,8,5,36
0,4,2,38
0,1,7,51
1,14,6,31
0,8,9,29
0,5,6,20
0,7,4,28
0,13,2,37
1,8,16,26
1,13,9,32
1,7,14,18
1,5,9,18
0,12,3,35
0,1,10,44
0,10,6,24
1,12,11,34
1,7,11,18
1,10,10,18
1,13,9,38
0,7,7,36
0,8,13,50
0,8,7,48
0,6,4,20
1,15,4,23
0,7,8,37
0,12,5,31
0,7,3,35
0,7,6,35
0,9,9,32
0,9,10,35
0,5,7,36
0,11,5,39
1,9,6,20
0,7,3,26
0,9,8,39
0,6,5,39
0,10,6,38
0,3,6,18
0,8,7,37
0,8,9,29
0,9,7,33
1,12,11,38
0,6,6,35
1,10,9,24
0,7,4,44
0,6,4,18
