lfprt,educ,expr,age
1,11,6,22
0,6,9,31
0,6,5,24
0,10,8,38
1,5,13,22
0,7,7,27
0,8,5,33
0,10,6,41
0,9,7,29
0,8,9,30
0,9,8,29
0,7,5,30
0,8,6,28
1,5,12,21
1,5,11,26
0,6,5,33
0,7,7,35
1,15,10,43
0,5,9,24
1,6,9,18
0,4,2,36
1,9,11,32
0,8,5,33
0,6,5,37
0,5,10,28
0,10,9,33
0,6,9,40
0,5,12,32
0,4,4,21
0,11,4,22
0,5,9,24
1,10,9,32
1,9,7,19
0,6,9,27
0,11,5,34
1,10,9,18
0,3,7,24
1,12,12,42
0,4,6,26
0,6,5,25
0,10,10,46
1,13,8,35
1,10,5,18
0,7,10,30
0,11,5,31
0,6,8,38
1,8,7,20
0,5,5,40
1,6,11,26
0,5,11,42
0,5,5,41
0,9,5,49
0,10,8,51
1,10,9,21
0,12,5,27
0,7,5,31
0,6,6,33
0,4,7,27
1,11,6,21
0,13,8,36
0,10,10,40
0,7,12,37
1,11,5,18
0,0,6,32
0,4,11,36
0,8,8,29
1,9,6,18
0,3,7,38
0,5,13,36
0,11,4,41
0,5,3,18
1,8,9,18
1,8,8,22
1,7,12,34
0,9,7,32
1,11,9,18
0,8,7,26
0,1,9,37
0,7,5,19
0,4,7,46
0,8,0,32
1,6,8,18
0,8,7,36
0,3,7,44
1,11,6,22
0,5,10,30
0,11,4,29
1,10,10,31
0,8,8,46
0,8,9,49
0,6,9,33
0,10,4,18
0,2,3,33
0,3,7,53
0,4,6,21
0,9,4,38
0,10,11,40
0,8,5,42
0,7,8,40
0,6,2,18
0,7,7,35
1,4,11,25
0,8,6,42
0,4,13,40
1,9,7,24
0,15,7,46
0,5,12,32
0,7,10,36
1,9,10,33
0,10,8,37
1,5,11,18
0,2,8,25
0,7,10,40
0,2,8,28
1,7,12,26
0,6,6,37
0,10,7,27
0,5,5,28
1,6,8,18
1,9,11,19
1,7,8,19
0,8,7,35
1,5,13,34
0,2,6,39
0,13,6,34
0,2,8,35
1,6,12,29
0,7,6,34
0,9,6,56
0,7,5,25
1,6,10,19
1,6,10,19
1,4,12,25
0,5,9,26
0,8,7,48
0,10,2,20
1,5,13,30
1,8,13,29
1,13,12,46
0,0,11,64
0,8,6,26
1,8,12,28
0,5,5,18
0,12,10,50
0,3,8,31
1,10,9,24
0,10,6,33
0,5,7,18
1,10,12,18
0,7,1,18
0,2,6,47
0,4,5,35
0,6,8,28
0,2,7,37
0,3,6,27
0,7,2,52
0,7,7,43
0,7,6,30
1,12,6,18
0,8,1,35
1,11,15,18
1,6,7,18
1,4,10,22
0,8,-0,29
0,1,8,19
0,-0,8,44
0,4,6,42
0,8,2,37
0,10,8,33
1,9,13,18
0,10,8,31
0,5,4,29
0,7,2,35
0,7,6,36
1,8,12,24
0,5,5,28
0,9,7,33
0,8,7,45
0,5,9,26
0,6,6,35
1,13,11,24
0,6,7,20
0,7,8,40
0,8,3,18
1,9,7,18
0,6,8,37
1,9,8,18
0,10,10,38
1,10,10,29
1,11,14,38
0,7,8,38
0,4,7,37
0,5,7,33
0,6,10,33
0,10,7,28
1,9,6,18
1,15,7,25
1,7,10,27
0,2,7,18
0,3,8,26
1,3,10,18
0,3,8,45
1,6,11,21
0,3,3,23
0,2,13,30
1,8,12,18
1,10,9,27
1,9,12,31
0,5,9,24
1,8,12,37
1,13,5,24
1,9,11,31
0,7,6,35
1,9,11,29
0,7,10,39
0,7,4,25
0,10,5,38
1,9,12,25
0,8,9,31
0,5,4,32
0,6,5,19
0,7,10,51
0,5,8,28
0,2,7,21
0,6,4,24
1,15,8,22
0,10,8,33
0,6,7,42
0,6,3,32
0,2,8,21
1,10,10,28
0,9,3,26
1,10,8,18
1,13,11,44
0,9,7,26
0,6,4,31
0,10,6,26
0,1,7,21
0,5,3,37
0,4,5,25
0,5,10,40
0,10,11,44
1,10,8,18
0,9,0,34
0,9,8,32
1,14,5,18
0,3,8,38
0,7,9,38
0,9,5,35
0,7,12,38
1,9,9,23
0,1,9,18
1,14,13,25
0,16,6,38
0,9,7,45
0,5,4,27
0,6,6,42
0,9,-0,43
1,9,6,19
0,7,8,35
0,7,8,34
1,8,13,40
0,9,8,28
0,5,6,18
0,6,3,25
0,6,9,27
0,11,3,20
0,7,9,38
0,10,2,31
1,9,10,30
0,3,5,44
0,6,12,34
0,6,11,34
0,11,5,33
0,4,8,39
0,1,6,34
0,8,6,35
0,4,7,26
0,8,6,39
0,4,8,19
0,5,7,44
0,7,10,34
0,6,5,30
0,5,9,39
0,8,12,40
1,9,7,18
0,5,5,23
1,9,10,30
0,7,10,45
0,9,3,44
0,7,11,37
0,7,11,39
1,9,12,28
0,7,6,18
0,8,5,28
0,9,2,21
0,6,8,32
1,9,8,26
0,14,6,50
0,6,11,50
0,2,6,35
0,7,2,18
1,5,13,28
0,7,10,42
0,8,4,30
0,4,12,40
0,5,5,50
0,3,9,33
1,8,8,21
0,9,4,33
0,6,12,34
0,10,5,31
0,7,7,43
0,4,5,23
0,8,2,33
1,3,12,18
0,12,7,33
0,8,9,32
0,7,4,18
0,7,4,34
0,1,3,37
0,7,10,49
0,11,2,42
0,7,8,30
1,10,9,27
0,6,8,23
0,7,6,32
1,9,13,20
0,6,12,47
1,10,12,41
0,6,7,34
0,5,11,43
0,4,7,18
0,4,5,41
0,9,5,20
0,-0,13,36
1,14,7,18
0,4,5,30
0,6,9,38
0,0,6,39
1,15,7,18
0,5,8,60
1,11,4,18
1,10,9,18
0,-0,9,35
1,8,12,31
1,8,11,23
0,8,7,42
0,9,6,48
1,4,9,18
1,4,9,18
0,5,8,36
1,9,10,27
1,8,11,27
0,3,4,34
0,8,11,40
0,6,4,32
0,5,8,39
0,10,5,53
1,5,10,18
0,5,3,18
1,8,13,38
1,9,7,21
0,6,9,29
0,5,7,31
1,7,10,25
0,6,11,38
0,5,3,42
0,7,9,40
0,10,7,39
0,2,5,48
0,3,10,33
0,6,4,31
1,3,14,27
1,9,8,27
0,5,9,29
0,7,6,36
0,5,6,36
0,7,9,33
0,6,10,56
0,11,6,27
1,10,10,35
0,4,9,37
1,3,9,18
0,6,10,40
1,9,7,24
0,8,4,33
0,11,12,47
0,5,4,28
0,4,2,48
1,9,13,23
1,7,12,29
1,12,7,23
0,8,8,38
0,8,6,24
0,1,9,30
1,9,9,30
0,12,-0,35
0,11,1,34
1,11,8,30
